STT,WRONG,RIGHT
0,chính sác ,chính xác 
1,dân biểu liêng bang,dân biểu liên bang
2,chiên sư ukraine,chiến sự ukraine
3,vui vẽ,vui vẻ
4,xô xác,xô xát
5,cái tật sạo không bỏ,cái tật xạo không bỏ
6,đầu ốc con người,đầu óc con người
7,bà nầy,bà này
8,chen nhau đặc vé,chen nhau đặt vé
9,nguễn,nguyễn
10,hà lội,hà nội
11,cái ông lầy nàm thơ,cái ông này làm thơ
12,dẫn nước và ruộng,dẫn nước vào ruộng
13,sài lu không ăn thua gì,xài lu không ăn thua gì
14,ní nuận,lý luận
15,đại biểu cuốc hội,đại biểu quốc hội
16,tât' cả mọi ngơi,tất cả mọi nơi
17,thuối nát,thối nát
18,bộ trưỡng,bộ trưởng
19,ai triệu trách nhiệm,ai chịu trách nhiệm
20,anh lả ai,anh là ai
21,đóng phinh ,đóng phim
22,vuọt ngục,vượt ngục
23,comment sàm,comment xàm
24,người hiểu xẽ nhìn ra,người hiểu sẽ nhìn ra
25,sai ghon ,sài gòn
26,chưởi ,chửi 
27,giọng miền nâm,giọng miền nam
28,hây hơn,hay hơn
29,chần kảm,trầm cảm
30,chan.kam,trầm cảm
31,giảm xuông,giảm xuống
32,sử sự không còn gì để nói,xử sự không còn gì để nói
33,thít  nhiều  thứ ,thích nhiều thứ 
34,sĩ nhục,sỉ nhục
35,cường hôn,cưỡng hôn
36,thẳng yêu râu xanh,thằng yêu râu xanh
37, như vậ mới có nền văn minh, như vậy mới có nền văn minh
38,lấy cái lu trống lụt ,lấy cái lu chống lụt 
39,thỳ mọi biện minh bằng thườ,thì mọi biện minh bằng thừa
40,youtube thấy lời tục tỉu quá,youtube thấy lời tục tĩu quá
41,tuyên tuyền,tuyên truyền
42,những tơ báo ,những tờ báo 
43,chưa chín xác,chưa chính xác
44,hã bạn,hả bạn
45,nói chuyện nghe rất hòa hã,nói chuyện nghe rất hòa nhã
46,hệ thống chính trị mỷ ,hệ thống chính trị mỹ
47,nếu bị rát mong thì bạn nên dùng thuốc,nếu bị rát mông thì bạn nên dùng thuốc
48,như thế lày,như thế này
49,tôi luôn ngưỡn mộ và ủng hộ,tôi luôn ngưỡng mộ và ủng hộ
50,sē cãm thâÿ vui hön,sẽ cảm thấy vui hơn
51,tôi tự vo,tôi tự do
52,sự đau khổ cua người,sự đau khổ của người
53,đọc tài,độc tài
54,độc sách,đọc sách
55,đặt tên cung cơm,đặt tên cúng cơm
56,lật đỗ,lật đổ
57,mưu muội,ngu muội
58,cùng nhau năm tay ,cùng nhau nắm tay 
59,hảy suy nghỉ,hãy suy nghĩ
60,lật đỏ xe,lật đổ xe
61,người dân chống giặt,người dân chống giặc
62,mời giặt vao nhà,mời giặc vào nhà
63,mày còn binh nó nữa,mày còn bênh nó nữa
64,có khã năng ,có khả năng 
