STT,Wrong,Right
0,gặt háy,gặt hái
1,hộp tác,hợp tác 
2,chổ,chỗ
3,siu nét,siêu nét
4,ÔTÔ CỦ ,ÔTÔ cũ
5,không đủ tự cách,không đủ tư cách
6,pưngpô,bưng bô
7,dū tú cách,đủ tư cách
8,sáng lạn,xán lạn
9,Vẫn cho hoặc chốn ra đường nhiều,Vẫn cho hoặc trốn ra đường nhiều
10,Nước giời nại còn pha nước cống,Nước trời lại còn pha nước cống
11,sông Tô Nịch,sông Tô Lịch
12,quy hoạch tràng lang,quy hoạch tràn lan
13,chính sác ,chính xác 
14,dân biểu liêng bang,dân biểu liên bang
15,Chiên sư Ukraine,Chiến sự Ukraine
16,vui vẽ,vui vẻ
17,xô xác,xô xát
18,cái tật sạo không bỏ,cái tật xạo không bỏ
19,đầu ốc con người,đầu óc con người
20,Bà nầy,Bà này
21,Chen nhau đặc vé,Chen nhau đặt vé
22,nguễn,nguyễn
23,hà lội,hà nội
24,Cái ông lầy nàm thơ,Cái ông này làm thơ
25,Dẫn nước và ruộng,Dẫn nước vào ruộng
26,sài lu không ăn thua gì,xài lu không ăn thua gì
27,ní nuận,lý luận
28,Đại biểu cuốc hội,Đại biểu quốc hội
29,tât' cả mọi ngơi,tất cả mọi nơi
30,thuối nát,thối nát
31,Bộ Trưỡng,bộ trưởng
32,Ai triệu trách nhiệm,Ai chịu trách nhiệm
33,anh lả ai,anh là ai
34,đóng phinh ,đóng phim
35,vuọt ngục,vượt ngục
36,comment sàm,comment xàm
37,người hiểu xẽ nhìn ra,người hiểu sẽ nhìn ra
38,sai ghon ,sài gòn
39,chưởi ,chửi 
40,giọng miền nâm,giọng miền nam
41,hây hơn,hay hơn
42,chần kảm,trầm cảm
43,chan.kam,trầm cảm
44,Giảm xuông,Giảm xuống
45,Sử sự không còn gì để nói,Xử sự không còn gì để nói
46,Thít  nhiều  thứ ,Thích nhiều thứ 
47,sĩ nhục,sỉ nhục
48,cường hôn,cưỡng hôn
49,thẳng yêu râu xanh,thằng yêu râu xanh
50, như vậ mới có nền văn minh, như vậy mới có nền văn minh
51,Lấy cái lu trống lụt ,Lấy cái lu chống lụt 
52,thỳ mọi biện minh bằng thườ,thì mọi biện minh bằng thừa
53,Youtube thấy lời tục tỉu quá,Youtube thấy lời tục tĩu quá
54,tuyên tuyền,tuyên truyền
55,những tơ báo ,những tờ báo 
56,chưa chín xác,chưa chính xác
